,author,avgRating,bookid,genre1,genre2,isbn,lang,name,rating1,rating2,rating3,rating4,rating5,rating_count,url
0,Wilson Rawls,4.05,10365,Classics,Fiction,9.78038E+12,English,Where the Red Fern Grows,6762,15676,55215,93353,121267,292273,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
1,Ray Dalio,4.29,34941133,Business,Nonfiction,,English,Principles: Life and Work,25,126,539,1204,1989,3883,https://www.goodreads.com/book/show/34941133-principles
2,Rob  Reid,3.92,32768285,Science Fiction,Fiction,,,Forever on: A Novel of Silicon Valley,48,75,212,443,407,1185,https://www.goodreads.com/book/show/32768285-forever-on
3,Various,4.24,33232571,,,,English,2016 on Goodreads (Goodreads Year in Review),20,35,187,363,614,1219,https://www.goodreads.com/book/show/33232571-2016-on-goodreads
4,Arthur Conan Doyle,4.49,10147,Thriller,Historical,9.78159E+12,English,"The Complete Sherlock Holmes, Volume I (Sherlock Holmes)",161,294,1854,6587,14226,23122,https://www.goodreads.com/book/show/10147.The_Complete_Sherlock_Holmes_Volume_I
5,Gary Taubes,3.87,29983426,Nonfiction,Health,,English,The Case Against Sugar,61,242,1059,1595,1202,4159,https://www.goodreads.com/book/show/29983426-the-case-against-sugar
6,Norman Maclean,4.17,38300,Fiction,Classics,9.78023E+12,English,A River Runs Through It,77,242,856,1880,2494,5549,https://www.goodreads.com/book/show/38300.A_River_Runs_Through_It
7,Marilyn Brant Chandler DeYoung,4.71,28699343,Nonfiction,Biography,,English,Remarkable Women of California,0,0,0,2,5,7,https://www.goodreads.com/book/show/28699343-remarkable-women-of-california
8,James Hamilton-Paterson,3.61,40,Fiction,Humor,9.78193E+12,English,Cooking with Fernet Branca (Gerald Samper  #1),62,132,348,460,297,1299,https://www.goodreads.com/book/show/40.Cooking_with_Fernet_Branca
9,Hiawyn Oram,4.17,37684,Fantasy,Classics,9.78006E+12,English,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",41,170,747,1525,1993,4476,https://www.goodreads.com/book/show/37684.The_Lion_the_Witch_and_the_Wardrobe
10,Liu Cixin,4.39,24375664,Fiction,Science Fiction,,English,The Dark Forest (Remembrance of Earth's Past #2),127,496,2393,8142,13328,24486,https://www.goodreads.com/book/show/24375664-the-dark-forest
11,Laszlo Bock,4.16,22875447,Business,Nonfiction,9.78146E+12,English,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,68,212,1095,2766,2872,7013,https://www.goodreads.com/book/show/22875447-work-rules
12,Neal Stephenson,3.98,22816087,Science Fiction,Fiction,,English,Seveneves,1235,3654,12603,26167,22512,66171,https://www.goodreads.com/book/show/22816087-seveneves
13,Marie Kondō,3.79,22318578,Nonfiction,Self Help,9.78161E+12,English,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (Magic Cleaning #1),4726,13134,40253,54941,46534,159588,https://www.goodreads.com/book/show/22318578-the-life-changing-magic-of-tidying-up
14,J.K. Rowling,4.55,1,Fantasy,Young Adult,9.78044E+12,English,Harry Potter and the Half-Blood Prince (Harry Potter #6),7740,22286,142044,482911,1254350,1909331,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
15,Michael   Lewis,4.13,20604826,Nonfiction,Business,9.78039E+12,English,Flash Boys: A Wall Street Revolt,536,1383,7743,20625,18466,48753,https://www.goodreads.com/book/show/20604826-flash-boys
16,Emily St. John Mandel,4.02,21792828,Fiction,Science Fiction,,English,Station Eleven,4284,9437,38028,87996,74896,214641,https://www.goodreads.com/book/show/21792828-station-eleven
17,Sundeep Ahuja,3.66,18777578,Science Fiction,Fiction,,English,HALINE,3,3,15,12,14,47,https://www.goodreads.com/book/show/18777578-haline
18,Dan Millman,4.08,2262,Spirituality,Self Help,9.78092E+12,,No Ordinary Moments: A Peaceful Warrior's Guide to Daily Life,18,51,298,470,565,1402,https://www.goodreads.com/book/show/2262.No_Ordinary_Moments
19,Francesco Pittau,4.64,18296097,Environment,Childrens,9.78145E+12,,The Open Ocean,0,0,1,7,17,25,https://www.goodreads.com/book/show/18296097-the-open-ocean
20,Liu Cixin,4.03,18245960,Science Fiction,Fiction,,English,The Three-Body Problem (Remembrance of Earth's Past #1),854,3081,11027,24010,21461,60433,https://www.goodreads.com/book/show/18245960-the-three-body-problem
21,Ben Horowitz,4.21,18176747,Business,Business,9.78006E+12,English,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,472,896,3828,9214,12825,27235,https://www.goodreads.com/book/show/18176747-the-hard-thing-about-hard-things
22,Ed Catmull,4.22,19816540,Business,Nonfiction,,English,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",732,1272,4899,12379,17755,37037,https://www.goodreads.com/book/show/19816540-creativity-inc
23,Brad Stone,4.1,17660462,Biography,Nonfiction,9.78032E+12,English,The Everything Store: Jeff Bezos and the Age of Amazon,482,954,5212,13585,11625,31858,https://www.goodreads.com/book/show/17660462-the-everything-store
24,Andrea Beaty,4.55,17290220,Childrens,Childrens,9.78142E+12,English,"Rosie Revere, Engineer",19,58,408,1498,3715,5698,https://www.goodreads.com/book/show/17290220-rosie-revere-engineer
25,Andy Hunt,4.31,4099,Computer Science,Science,9.7802E+12,English,The Pragmatic Programmer: From Journeyman to Master,72,255,1370,4184,5670,11551,https://www.goodreads.com/book/show/4099.The_Pragmatic_Programmer
26,Adam M. Grant,4.08,18662473,Business,Nonfiction,,English,Give and Take: A Revolutionary Approach to Success,257,601,2447,5089,5511,13905,https://www.goodreads.com/book/show/18662473-give-and-take
27,Andy Weir,4.4,17315048,Novels,Contemporary,,English,The Martian (The Martian #1),4536,11945,54292,191700,326101,588574,https://www.goodreads.com/book/show/17315048-the-martian
28,Pierce Brown,4.26,15839976,Science Fiction,Fantasy,9.78035E+12,English,Red Rising (Red Rising Saga #1),2743,5254,18089,50674,77589,154349,https://www.goodreads.com/book/show/15839976-red-rising
29,Michael Moss,3.98,17451257,Nonfiction,Food and Drink,,English,Salt Sugar Fat: How the Food Giants Hooked Us,415,901,4324,8966,7031,21637,https://www.goodreads.com/book/show/17451257-salt-sugar-fat
30,Seymour Boorstein,4.33,14356972,Self Help,Psychology,9.78146E+12,English,Who's Talking Now: The Owl or the Crocodile,0,0,3,0,6,9,https://www.goodreads.com/book/show/14356972-who-s-talking-now
31,Lodovico Pignatti Morano,4.18,13573189,,,9.78085E+12,English,Cinelli: The Art and Design of the Bicycle,1,0,4,6,11,22,https://www.goodreads.com/book/show/13573189-cinelli
32,Dan Simmons,4.16,10294362,Science Fiction,Fiction,,English,The Rise of Endymion (Hyperion Cantos #4),428,1474,5698,12118,15769,35487,https://www.goodreads.com/book/show/10294362-the-rise-of-endymion
33,Yuval Noah Harari,4.45,20873740,Nonfiction,History,,English,Sapiens: A Brief History of Humankind,1308,2423,10387,34473,73842,122433,https://www.goodreads.com/book/show/20873740-sapiens
34,Will Schwalbe,3.81,13414676,Nonfiction,Autobiography,9.78031E+12,English,The End of Your Life Book Club,1099,3054,10290,15835,11677,41955,https://www.goodreads.com/book/show/13414676-the-end-of-your-life-book-club
35,Liu Cixin,4.45,25735618,,,,English,Death's End (Remembrance of Earth's Past #3),96,338,1525,4997,10098,17054,https://www.goodreads.com/book/show/25735618-death-s-end
36,Donald A. Norman,4.19,840,Design,Nonfiction,9.78047E+12,English,The Design of Everyday Things,107,557,2661,6883,7358,17566,https://www.goodreads.com/book/show/840.The_Design_of_Everyday_Things
37,Tarang Shah,3.85,13148183,,,9.78143E+12,English,Venture Capitalists At Work: How VCs Identify And Build Billion Dollar Successes,1,8,36,36,37,118,https://www.goodreads.com/book/show/13148183-venture-capitalists-at-work
38,Ken Follett,4.3,16008171,,,,English,Winter of the World (The Century Trilogy #2),499,1868,11653,36730,46454,97204,https://www.goodreads.com/book/show/16008171-winter-of-the-world
39,Randy Leffingwell,4.4,19743,,,9.78076E+12,English,Porsche 911: Perfection by Design,1,0,2,7,15,25,https://www.goodreads.com/book/show/19743.Porsche_911
40,Maria Semple,3.91,13526165,Fiction,Humor,9.78032E+12,English,"Where'd You Go, Bernadette",4499,14452,65373,130237,79886,294447,https://www.goodreads.com/book/show/13526165-where-d-you-go-bernadette
41,Adam Mansbach,4.26,11474551,Humor,Fiction,9.78145E+12,English,Go the Fuck to Sleep,1639,2776,10938,21290,41660,78303,https://www.goodreads.com/book/show/11474551-go-the-fuck-to-sleep
42,Walter Isaacson,4.11,11297044,Biography,Nonfiction,,English,Steve Jobs,23525,25690,100462,233094,294467,677238,https://www.goodreads.com/book/show/11297044-steve-jobs
43,Neal Stephenson,3.96,10552338,Fiction,Science Fiction,9.78006E+12,English,Reamde,669,2220,8492,17303,13412,42096,https://www.goodreads.com/book/show/10552338-reamde
44,Laura Hillenbrand,4.39,8664353,Nonfiction,History,9.7814E+12,English,"Unbroken: A World War II Story of Survival, Resilience and Redemption",12439,15020,53637,158143,346762,586001,https://www.goodreads.com/book/show/8664353-unbroken
45,Bill Watterson,4.73,24815,Sequential Art,Humor,9.78075E+12,English,The Indispensable Calvin and Hobbes (Calvin and Hobbes),19,65,686,3072,13772,17614,https://www.goodreads.com/book/show/24815.The_Indispensable_Calvin_and_Hobbes
