Label	GroupId	CoveredQueryTermNumberAnchor	CoveredQueryTermNumberTitle	CoveredQueryTermNumberUrl	CoveredQueryTermNumberWholeDocument	CoveredQueryTermNumberBody	CoveredQueryTermRatioAnchor	CoveredQueryTermRatioTitle	CoveredQueryTermRatioUrl	CoveredQueryTermRatioWholeDocument	CoveredQueryTermRatioBody	StreamLengthAnchor	StreamLengthTitle	StreamLengthUrl	StreamLengthWholeDocument	StreamLengthBody	IdfAnchor	IdfTitle	IdfUrl	IdfWholeDocument	IdfBody	SumTfAnchor	SumTfTitle	SumTfUrl	SumTfWholeDocument	SumTfBody	MinTfAnchor	MinTfTitle	MinTfUrl	MinTfWholeDocument	MinTfBody	MaxTfAnchor	MaxTfTitle	MaxTfUrl	MaxTfWholeDocument	MaxTfBody	MeanTfAnchor	MeanTfTitle	MeanTfUrl	MeanTfWholeDocument	MeanTfBody	VarianceTfAnchor	VarianceTfTitle	VarianceTfUrl	VarianceTfWholeDocument	VarianceTfBody	SumStreamLengthNormalizedTfAnchor	SumStreamLengthNormalizedTfTitle	SumStreamLengthNormalizedTfUrl	SumStreamLengthNormalizedTfWholeDocument	SumStreamLengthNormalizedTfBody	MinStreamLengthNormalizedTfAnchor	MinStreamLengthNormalizedTfTitle	MinStreamLengthNormalizedTfUrl	MinStreamLengthNormalizedTfWholeDocument	MinStreamLengthNormalizedTfBody	MaxStreamLengthNormalizedTfAnchor	MaxStreamLengthNormalizedTfTitle	MaxStreamLengthNormalizedTfUrl	MaxStreamLengthNormalizedTfWholeDocument	MaxStreamLengthNormalizedTfBody	MeanStreamLengthNormalizedTfAnchor	MeanStreamLengthNormalizedTfTitle	MeanStreamLengthNormalizedTfUrl	MeanStreamLengthNormalizedTfWholeDocument	MeanStreamLengthNormalizedTfBody	VarianceStreamLengthNormalizedTfAnchor	VarianceStreamLengthNormalizedTfTitle	VarianceStreamLengthNormalizedTfUrl	VarianceStreamLengthNormalizedTfWholeDocument	VarianceStreamLengthNormalizedTfBody	SumTfidfAnchor	SumTfidfTitle	SumTfidfUrl	SumTfidfWholeDocument	SumTfidfBody	MinTfidfAnchor	MinTfidfTitle	MinTfidfUrl	MinTfidfWholeDocument	MinTfidfBody	MaxTfidfAnchor	MaxTfidfTitle	MaxTfidfUrl	MaxTfidfWholeDocument	MaxTfidfBody	MeanTfidfAnchor	MeanTfidfTitle	MeanTfidfUrl	MeanTfidfWholeDocument	MeanTfidfBody	VarianceTfidfAnchor	VarianceTfidfTitle	VarianceTfidfUrl	VarianceTfidfWholeDocument	VarianceTfidfBody	BooleanModelAnchor	BooleanModelTitle	BooleanModelUrl	BooleanModelWholeDocument	BooleanModelBody	VectorSpaceModelAnchor	VectorSpaceModelTitle	VectorSpaceModelUrl	VectorSpaceModelWholeDocument	VectorSpaceModelBody	Bm25Anchor	Bm25Title	Bm25Url	Bm25WholeDocument	Bm25Body	LmirAbsAnchor	LmirAbsTitle	LmirAbsUrl	LmirAbsWholeDocument	LmirAbsBody	LmirDirAnchor	LmirDirTitle	LmirDirUrl	LmirDirWholeDocument	LmirDirBody	LmirJmAnchor	LmirJmTitle	LmirJmUrl	LmirJmWholeDocument	LmirJm	NumberSlashInUrl	LengthUrl	InlinkNumber	OutlinkNumber	PageRank	SiteRank	QualityScore	QualityScore2	QueryUrlClickCount	UrlClickCount	UrlDwellTime
2	1	3	3	0	0	3	1	1	0	0	1	156	4	0	7	167	6.931275	22.076928	19.673353	22.255383	6.926551	3	3	0	0	6	1	1	0	0	2	1	1	0	0	2	1	1	0	0	2	0	0	0	0	0	0.019231	0.75000	0	0	0.035928	0.00641	0.25000	0	0	0.011976	0.00641	0.25000	0	0	0.011976	0.00641	0.25000	0	0	0.011976	0	0	0	0	0	6.931275	22.076928	0	0	13.853103	1.152128	5.99246	0	0	2.297197	3.078917	8.517343	0	0	6.156595	2.310425	7.358976	0	0	4.617701	0.694726	1.084169	0	0	2.78795	1	1	0	0	1	1	1	0	0	1	12.941469	20.59276	0	0	16.766961	-18.567793	-7.760072	-20.838749	-25.436074	-14.518523	-21.710022	-21.339609	-24.497864	-27.690319	-20.203779	-15.449379	-4.474452	-23.634899	-28.119826	-13.581932	3	62	11089534	2	116	64034	13	3	0	0	0	
2	1	3	0	3	0	3	1	0	1	0	1	406	0	5	5	416	6.931275	22.076928	19.673353	22.255383	6.926551	28	0	3	0	31	8	0	1	0	9	10	0	1	0	11	9.333333	0	1	0	10.333333	0.888889	0	0	0	0.888889	0.068966	0	0.60000	0	0.074519	0.019704	0	0.20000	0	0.021635	0.024631	0	0.20000	0	0.026442	0.022989	0	0.20000	0	0.02484	0.000005	0	0	0	0.000005	63.912287	0	19.673353	0	70.792754	11.521285	0	5.373163	0	12.634581	30.789171	0	7.985784	0	33.861273	21.304096	0	6.557784	0	23.597585	61.919565	0	1.167248	0	75.339929	1	0	1	0	1	0.994425	0	1	0	0.995455	20.885118	0	24.233365	0	21.161666	-11.55585	-21.242171	-8.429024	-25.436074	-11.297811	-16.487275	-24.805464	-21.461317	-27.690319	-16.208808	-11.646141	-24.041386	-5.14386	-28.119826	-11.411068	2	54	11089534	2	124	64034	1	2	0	0	0	
0	1	3	0	2	0	3	1	0	0.666667	0	1	146	0	3	7	156	6.931275	22.076928	19.673353	22.255383	6.926551	14	0	2	0	16	1	0	0	0	1	7	0	1	0	8	4.666667	0	0.666667	0	5.333333	6.888889	0	0.222222	0	9.555556	0.09589	0	0.666667	0	0.102564	0.006849	0	0	0	0.00641	0.047945	0	0.333333	0	0.051282	0.031963	0	0.222222	0	0.034188	0.000323	0	0.024691	0	0.000393	29.238631	0	11.687569	0	33.436525	2.700229	0	0	0	2.699655	18.473503	0	6.314406	0	21.548083	9.74621	0	3.895856	0	11.145508	42.879431	0	7.736505	0	61.124916	1	0	0	0	1	0.851903	0	0.720414	0	0.842789	18.140878	0	17.748073	0	18.279205	-12.609065	-21.242171	-14.935056	-25.436074	-12.487989	-18.832941	-24.805464	-23.925663	-27.690319	-18.589543	-11.525277	-24.041386	-14.689844	-28.119826	-11.436378	3	45	3	1	124	3344	14	67	0	0	0	
2	1	3	0	3	0	3	1	0	1	0	1	287	1	4	7	299	6.931275	22.076928	19.673353	22.255383	6.926551	7	0	3	0	10	2	0	1	0	3	3	0	1	0	4	2.333333	0	1	0	3.333333	0.222222	0	0	0	0.222222	0.02439	0	0.75000	0	0.033445	0.006969	0	0.25000	0	0.010033	0.010453	0	0.25000	0	0.013378	0.00813	0	0.25000	0	0.011148	0.000003	0	0	0	0.000002	15.014677	0	19.673353	0	21.928252	3.456385	0	5.373163	0	4.594393	6.157834	0	7.985784	0	9.234893	5.004892	0	6.557784	0	7.309417	1.29454	0	1.167248	0	3.900733	1	0	1	0	1	0.989585	0	1	0	0.995185	15.572998	0	26.759999	0	17.53163	-15.55564	-21.242171	-7.76183	-25.436074	-14.198901	-20.103511	-24.805464	-21.45982	-27.690319	-19.180736	-14.798285	-24.041386	-4.474536	-28.119826	-13.825417	3	56	11089534	13	123	63933	1	3	0	0	0	
1	1	3	0	3	0	3	1	0	1	0	1	2009	2	4	7	2022	6.931275	22.076928	19.673353	22.255383	6.926551	8	0	3	0	11	2	0	1	0	3	3	0	1	0	4	2.666667	0	1	0	3.666667	0.222222	0	0	0	0.222222	0.003982	0	0.75000	0	0.00544	0.000996	0	0.25000	0	0.001484	0.001493	0	0.25000	0	0.001978	0.001327	0	0.25000	0	0.001813	0	0	0	0	0	17.714906	0	19.673353	0	24.627908	3.456385	0	5.373163	0	4.594393	8.100687	0	7.985784	0	10.798622	5.904969	0	6.557784	0	8.209303	3.626893	0	1.167248	0	6.941327	1	0	1	0	1	0.980551	0	1	0	0.989938	7.802556	0	26.759999	0	9.749707	-20.673887	-21.242171	-7.76183	-25.436074	-19.469471	-21.419394	-24.805464	-21.45982	-27.690319	-20.58994	-20.168345	-24.041386	-4.474536	-28.119826	-19.226044	3	64	5	7	256	49697	1	13	0	0	0	
1	1	3	0	3	0	3	1	0	1	0	1	935	3	4	7	949	6.931275	22.076928	19.673353	22.255383	6.926551	22	0	3	0	25	2	0	1	0	3	11	0	1	0	12	7.333333	0	1	0	8.333333	14.888889	0	0	0	14.888889	0.023529	0	0.75000	0	0.026344	0.002139	0	0.25000	0	0.003161	0.011765	0	0.25000	0	0.012645	0.007843	0	0.25000	0	0.008781	0.000017	0	0	0	0.000017	45.784125	0	19.673353	0	52.665121	5.400458	0	5.373163	0	8.098966	27.710254	0	7.985784	0	30.782976	15.261375	0	6.557784	0	17.55504	86.303274	0	1.167248	0	92.87418	1	0	1	0	1	0.871319	0	1	0	0.898802	15.468397	0	26.759999	0	16.692247	-15.755644	-21.242171	-7.76183	-25.436074	-15.038405	-18.401835	-24.805464	-21.45982	-27.690319	-17.869366	-15.535053	-24.041386	-4.474536	-28.119826	-14.984541	3	62	6	7	210	49923	5	15	0	0	0	
1	1	3	0	3	0	3	1	0	1	0	1	1363	4	4	7	1378	6.931275	22.076928	19.673353	22.255383	6.926551	22	0	3	0	25	2	0	1	0	3	10	0	1	0	11	7.333333	0	1	0	8.333333	14.222222	0	0	0	14.222222	0.016141	0	0.75000	0	0.018142	0.001467	0	0.25000	0	0.002177	0.007337	0	0.25000	0	0.007983	0.00538	0	0.25000	0	0.006047	0.000008	0	0	0	0.000007	47.710914	0	19.673353	0	54.594821	5.400458	0	5.373163	0	8.098966	30.789171	0	7.985784	0	33.861273	15.903638	0	6.557784	0	18.198274	117.033637	0	1.167248	0	126.093411	1	0	1	0	1	0.868696	0	1	0	0.895246	14.026719	0	26.759999	0	15.256367	-16.858034	-21.242171	-7.76183	-25.436074	-16.135572	-18.791859	-24.805464	-21.45982	-27.690319	-18.26152	-16.648405	-24.041386	-4.474536	-28.119826	-16.089317	3	62	6	7	256	50023	3	14	0	0	0	
2	1	3	0	3	0	3	1	0	1	0	1	489	0	4	10	503	6.931275	22.076928	19.673353	22.255383	6.926551	49	0	3	0	52	4	0	1	0	5	23	0	1	0	24	16.333333	0	1	0	17.333333	76.222222	0	0	0	76.222222	0.100204	0	0.75000	0	0.10338	0.00818	0	0.25000	0	0.00994	0.047035	0	0.25000	0	0.047714	0.033401	0	0.25000	0	0.03446	0.000319	0	0	0	0.000301	105.036047	0	19.673353	0	111.86548	10.800916	0	5.373163	0	13.498277	67.736176	0	7.985784	0	70.800844	35.012016	0	6.557784	0	37.288493	576.506755	0	1.167248	0	594.523969	1	0	1	0	1	0.860834	0	1	0	0.874593	20.435484	0	26.759999	0	20.870281	-11.206134	-21.242171	-7.76183	-25.436074	-10.938158	-15.716023	-24.805464	-21.45982	-27.690319	-15.438229	-11.276709	-24.041386	-4.474536	-28.119826	-11.05159	3	73	0	17	115	63318	1	3	0	0	0	
1	1	3	0	3	0	3	1	0	1	0	1	1295	2	4	7	1308	6.931275	22.076928	19.673353	22.255383	6.926551	15	0	3	0	18	3	0	1	0	4	7	0	1	0	8	5	0	1	0	6	2.666667	0	0	0	2.666667	0.011583	0	0.75000	0	0.013761	0.002317	0	0.25000	0	0.003058	0.005405	0	0.25000	0	0.006116	0.003861	0	0.25000	0	0.004587	0.000002	0	0	0	0.000002	31.560172	0	19.673353	0	38.457194	8.064899	0	5.373163	0	9.188786	15.394586	0	7.985784	0	18.469785	10.520057	0	6.557784	0	12.819065	11.880727	0	1.167248	0	16.397251	1	0	1	0	1	0.960116	0	1	0	0.972952	13.208906	0	26.759999	0	14.530013	-17.299188	-21.242171	-7.76183	-25.436074	-16.624509	-19.33689	-24.805464	-21.45982	-27.690319	-18.794758	-17.137203	-24.041386	-4.474536	-28.119826	-16.567386	3	51	11089534	15	124	63363	1	3	0	0	0	
0	1	3	0	3	0	3	1	0	1	0	1	510	0	4	5	519	6.931275	22.076928	19.673353	22.255383	6.926551	49	0	3	0	52	4	0	1	0	5	23	0	1	0	24	16.333333	0	1	0	17.333333	76.222222	0	0	0	76.222222	0.096078	0	0.75000	0	0.100193	0.007843	0	0.25000	0	0.009634	0.045098	0	0.25000	0	0.046243	0.032026	0	0.25000	0	0.033398	0.000293	0	0	0	0.000283	105.036047	0	19.673353	0	111.86548	10.800916	0	5.373163	0	13.498277	67.736176	0	7.985784	0	70.800844	35.012016	0	6.557784	0	37.288493	576.506755	0	1.167248	0	594.523969	1	0	1	0	1	0.860834	0	1	0	0.874593	20.347854	0	26.759999	0	20.810034	-11.331812	-21.242171	-7.76183	-25.436074	-11.031877	-15.741228	-24.805464	-21.45982	-27.690319	-15.457345	-11.402698	-24.041386	-4.474536	-28.119826	-11.145427	2	48	1	1	541	63363	1	5	0	0	0	
